Item,Description,Retail_Price,Loyalty_Discount,CustomerID
4291344502,Long Overalls,55.62,0.07,100000919
1336619171,Slacks,63.84,0.05,100000422
9313710898,Dish Towel,32.23,0.05,200000819
1737807900,Tie,68.64,0.01,100000294
2113413915,Shorts,59.33,0.05,100000841
3256419181,Short Slip,102,0.1,100000544
2355020550,Sweater,67.92,0.02,300000734
7502168586,Baby Quilt,38.06,0.08,300000633
1988250904,Coat,74.16,0.02,200000646
1303837083,Suit,19.4,0.1,400000515
2695940506,Sweater,59.4,0.04,100000170
2355020550,Sweater,67.92,0.05,100000330
8213207925,Underwear & Boxers,23.76,0.03,100000558
5145202479,Crib Sheet,9.9,0.05,400000914
5480721202,Shirt,67.83,0.1,100000293
1489444777,Short Gown,131.12,0.03,100000443
2782517448,Belt,45.77,0.04,200000363
3256419181,Short Slip,102,0.04,100000170
8262662751,Suit,109.89,0.08,200000102
8948840620,Gloves,19.8,0.01,100000091
8586814459,Gown & Robe Set,65.64,0.09,200000352
2557931901,Short Gown,47.76,0.02,100000574
9873264896,Hat,10.89,0.07,200000492
6660530324,Washcloth,35.14,0.01,200000940
5480721202,Shirt,67.83,0.1,400000795
1039854547,Coat,135.83,0.01,100000294
2557931901,Short Gown,47.76,0.02,100000049
9873264896,Hat,10.89,0.06,100000141
1893735141,Socks,115.5,0.08,300000611
4622769035,Short Gown,78,0.09,100000030
8864799421,Valance,31.8,0.02,200000607
2588421965,Commode Cover,15.84,0.05,200000938
4584868492,T-shirt,61.38,0.09,100000247
5050067655,Bottoms,66.96,0.04,200000762
6917448328,Socks,8.82,0.02,200000043
5127562193,Robe,95.76,0.02,100000709
9195451761,Hand Towel,51.66,0.1,100000255
4924918902,T-shirt,62.79,0.1,200000791
6648383061,Long Slip,27.86,0.06,100000182
1737807900,Tie,68.64,0.07,200000747
2782517448,Belt,45.77,0.09,100000923
2876522496,Jacket,99.8,0.06,200000066
2782517448,Belt,45.77,0.07,300000592
1284609276,Sweater,95.76,0,300000268
4391642886,Men's Pajama Set,83.79,0.04,300000731
2210750188,Blazer,119.76,0.02,300000393
2557931901,Short Gown,47.76,0.02,200000663
4619440506,Shorts,69.75,0.06,100000378
6182617964,Long Gown,97.11,0.1,100000839
5127562193,Robe,95.76,0,300000524
1039854547,Coat,135.83,0.02,400000691
2588421965,Commode Cover,15.84,0.01,300000597
3126356136,Formal Dress,99.9,0.04,200000459
5509524170,Couch Cover,86.68,0.04,100000132
2153011099,Gown & Robe Set,99.8,0.03,100000746
8864799421,Valance,31.8,0.05,100000841
2524845521,Gown & Robe Set,105.6,0,100000331
8213207925,Underwear & Boxers,23.76,0.01,400000829
3256419181,Short Slip,102,0.1,100000377
8143229140,Shower Shoes,27.86,0.09,200000715
1988250904,Coat,74.16,0.03,400000740
7690258628,Baby Blanket,21.93,0.1,200000100
6228611532,Valance,47.76,0.08,300000717
8586814459,Gown & Robe Set,65.64,0.07,100000642
1940915493,Long Gown,68.77,0,200000726
5187883584,Dish Towel,49.5,0.03,100000344
5480721202,Shirt,67.83,0.03,100000723
3305177499,Coveralls (long sleeve),95.88,0.02,300000271
3405268556,Handbag,114.77,0.04,100000677
3132788435,Coat,30.06,0.08,200000610
2355020550,Sweater,67.92,0.03,100000877
2363094138,Short Overalls,71.82,0.06,100000835
9313710898,Dish Towel,32.23,0.03,200000619
2248992375,Sweater,61.38,0.04,100000724
6228611532,Valance,47.76,0.01,100000851
2210750188,Blazer,119.76,0.1,200000725
1039854547,Coat,135.83,0.02,200000447
9862518267,Socks,10.84,0.09,100000489
3750666773,Waterbed Sheet,79.8,0.07,300000812
3750666773,Waterbed Sheet,79.8,0.04,100000142
4538875409,Couch Cover,79.8,0.09,200000588
4574639519,Jeans,14.5,0.01,200000482
6991736764,Pillow Sham,19.8,0.08,400000514
3390230025,Top,33.48,0.02,100000709
5145202479,Crib Sheet,9.9,0.1,200000534
3132788435,Coat,30.06,0.05,100000205
7841340144,Shirt,29.4,0.1,200000385
5127562193,Robe,95.76,0,200000389
2695940506,Sweater,59.4,0.09,100000489
2876522496,Jacket,99.8,0.06,200000793
3962085980,Sleeper,61.38,0.05,100000041
4622769035,Short Gown,78,0.02,100000130
1336619171,Slacks,63.84,0.07,100000921
8619953091,Pillowcase,18.96,0.03,100000832
8713824671,Infant 2 Piece Set,48.6,0.02,200000749
8586814459,Gown & Robe Set,65.64,0.09,200000622
8068199275,Slacks,87.78,0,100000930
8624682735,Coat,77.77,0.1,100000640
8694351166,Chair Cover,38.87,0.02,100000400
8948840620,Gloves,19.8,0.03,200000047
6661671897,Swimwear,50.83,0.02,100000879
4538875409,Couch Cover,79.8,0.02,100000931
7690258628,Baby Blanket,21.93,0.04,400000639
3390230025,Top,33.48,0.02,200000043
3135576553,Underwear,5.88,0.07,100000232
7463357829,Infant 2 Piece Set,49.8,0.04,300000731
3819369487,Dish Towel,7.84,0.08,200000508
5187883584,Dish Towel,49.5,0.01,200000186
1082405301,Blazer,119.76,0.04,300000704
3750666773,Waterbed Sheet,79.8,0.07,200000260
1284609276,Sweater,95.76,0.04,100000332
1319286996,Gowns/Pajamas,47.43,0.02,300000357
3123824581,Sweatpants,43.89,0.09,100000306
6991736764,Pillow Sham,19.8,0.04,100000229
7270957383,Scarf,29.85,0.01,100000154
9870137717,Crib Sheet,53.9,0.07,200000682
5310615417,Tie,41.79,0,100000233
5997626126,Coat/Jacket,39.55,0.04,100000402
3495221948,Suit & 2 pc Dress,38.12,0.07,100000881
2178891798,Hand Towel,18.17,0.02,100000176
2020397001,Men's Pajama Set,23.1,0.03,100000809
4619440506,Shorts,69.75,0.07,100000847
6660530324,Washcloth,35.14,0.05,200000448
5509524170,Couch Cover,86.68,0,400000441
3132788435,Coat,30.06,0.07,200000683
3405268556,Handbag,114.77,0.1,200000942
4934584980,Nylon Pants,55.86,0.02,200000646
6719567315,Blouse,47.88,0.02,100000445
3126356136,Formal Dress,99.9,0.01,100000543
4622769035,Short Gown,78,0.04,100000249
1940915493,Long Gown,68.77,0.05,300000666
8713824671,Infant 2 Piece Set,48.6,0.05,200000486
2782517448,Belt,45.77,0.03,400000690
3962085980,Sleeper,61.38,0.07,200000587
9223468295,Bath Mat,23.88,0.09,200000716
4924918902,T-shirt,62.79,0.08,100000227
5608950888,Suit & 2 pc Dress,112.35,0.1,300000913
6182617964,Long Gown,97.11,0.05,200000109
5153370805,Shorts,43.96,0.04,100000284
6228611532,Valance,47.76,0.01,400000755
2963300774,Sweatshirt,75.81,0.03,100000203
8586814459,Gown & Robe Set,65.64,0.08,300000528
8864799421,Valance,31.8,0.04,100000142
2153011099,Gown & Robe Set,99.8,0.1,100000092
2926937052,Washcloth,10.78,0.03,100000880
8619953091,Pillowcase,18.96,0.01,100000501
1893735141,Socks,115.5,0.06,200000536
7833392032,Skirt,55.86,0.06,100000572
1336619171,Slacks,63.84,0.09,200000370
2524845521,Gown & Robe Set,105.6,0.1,200000591
6182400847,Blazer,26.88,0.01,200000349
2926937052,Washcloth,10.78,0.1,200000301
3390230025,Top,33.48,0.07,100000304
8269421724,Long Overalls,124.75,0.06,200000842
8864799421,Valance,31.8,0.08,100000928
6991736764,Pillow Sham,19.8,0.1,300000736
4681342313,Sheets,29.9,0.06,200000414
8058527540,Jeans,35.91,0.05,100000871
4934584980,Nylon Pants,55.86,0.01,100000273
3126356136,Formal Dress,99.9,0,300000888
2355020550,Sweater,67.92,0.1,100000605
8586814459,Gown & Robe Set,65.64,0.09,300000340
8586814459,Gown & Robe Set,65.64,0.08,400000470
5509524170,Couch Cover,86.68,0,400000002
5736433915,Mattress Cover,65.78,0.01,300000777
2963300774,Sweatshirt,75.81,0.08,100000922
3132788435,Coat,30.06,0.1,400000515
7270957383,Scarf,29.85,0.1,200000903
3390230025,Top,33.48,0.01,200000408
2588421965,Commode Cover,15.84,0,200000110
2178891798,Hand Towel,18.17,0.05,100000148
9916068026,Gowns/Pajamas,118.14,0,100000873
2430071492,Dust Ruffle,41.86,0.07,300000612
6648383061,Long Slip,27.86,0.03,200000632
4398051135,Bra,6,0.03,100000157
3962085980,Sleeper,61.38,0.03,100000626
4327321762,Dress,69.75,0.02,300000729
2524845521,Gown & Robe Set,105.6,0.03,100000656
9873264896,Hat,10.89,0.08,400000470
8262662751,Suit,109.89,0.09,300000550
7841340144,Shirt,29.4,0.03,100000809
1737807900,Tie,68.64,0.03,200000579
1489444777,Short Gown,131.12,0.05,400000758
9166887914,Sweater,95.76,0.06,100000178
9873264896,Hat,10.89,0.01,100000346
7463357829,Infant 2 Piece Set,49.8,0.01,100000316
7463357829,Infant 2 Piece Set,49.8,0.07,100000444
1737807900,Tie,68.64,0.06,100000882
7425260271,Mattress Cover,35.44,0.07,100000643
3305177499,Coveralls (long sleeve),95.88,0,200000586
3452086694,Bra,38.87,0,200000384
2020397001,Men's Pajama Set,23.1,0,100000172
4291344502,Long Overalls,55.62,0.07,100000657
3750666773,Waterbed Sheet,79.8,0.01,100000316
8586814459,Gown & Robe Set,65.64,0.01,200000482
5480721202,Shirt,67.83,0.09,200000361
3390230025,Top,33.48,0.07,100000679
8619953091,Pillowcase,18.96,0.02,100000130
3795753080,Jeans,38.1,0.03,300000496
2524845521,Gown & Robe Set,105.6,0.1,300000687
8269421724,Long Overalls,124.75,0.06,100000840
3123824581,Sweatpants,43.89,0.1,200000339
5997626126,Coat/Jacket,39.55,0.08,300000430
1319286996,Gowns/Pajamas,47.43,0.01,100000216
1160651321,Coat,93.9,0.01,300000814
9223468295,Bath Mat,23.88,0.03,200000803
7841340144,Shirt,29.4,0.06,100000771
5857761910,Gowns/Pajamas,28.14,0.08,200000763
2695940506,Sweater,59.4,0.05,100000064
2695940506,Sweater,59.4,0.03,100000878
3495221948,Suit & 2 pc Dress,38.12,0.01,300000597
8694351166,Chair Cover,38.87,0,100000906
5509524170,Couch Cover,86.68,0.02,100000781
6265788387,Commode Cover,58.1,0.01,200000700
4574639519,Jeans,14.5,0.02,200000076
5480721202,Shirt,67.83,0.03,400000113
2430071492,Dust Ruffle,41.86,0.09,200000659
1737807900,Tie,68.64,0.04,100000219
6265788387,Commode Cover,58.1,0.08,100000286
6697166886,Coat,159.8,0.09,100000195
8262662751,Suit,109.89,0.08,200000684
1988250904,Coat,74.16,0.05,200000261
3382973348,Top,81.76,0.09,400000517
1737807900,Tie,68.64,0.07,100000858
5187373849,Short Slip,12.87,0.04,100000694
1319286996,Gowns/Pajamas,47.43,0.07,200000747
5145202479,Crib Sheet,9.9,0.03,100000878
7690258628,Baby Blanket,21.93,0.01,100000091
8262662751,Suit,109.89,0.07,100000326
1082405301,Blazer,119.76,0.1,200000912
3819369487,Dish Towel,7.84,0.03,300000815
5736433915,Mattress Cover,65.78,0.07,100000885
7841340144,Shirt,29.4,0.08,100000328
9280265561,Coat/Jacket,59.85,0,200000389
9195451761,Hand Towel,51.66,0,100000383
6661671897,Swimwear,50.83,0.04,100000249
4924918902,T-shirt,62.79,0.03,100000344
5145202479,Crib Sheet,9.9,0.01,200000457
8262662751,Suit,109.89,0.02,100000305
8068199275,Slacks,87.78,0.07,100000881
9195451761,Hand Towel,51.66,0.09,200000644
1336619171,Slacks,63.84,0.04,300000634
9223468295,Bath Mat,23.88,0.03,100000558
7690258628,Baby Blanket,21.93,0.09,200000548
2020397001,Men's Pajama Set,23.1,0.04,100000146
9538578209,Dress,87.36,0,100000322
1625450539,Dress,54.89,0,200000608
3890778939,Suit & 2 pc Dress,125.16,0,100000873
7010679527,Blanket,63.84,0.03,100000746
3750666773,Waterbed Sheet,79.8,0.04,200000039
9223468295,Bath Mat,23.88,0,200000362
4398051135,Bra,6,0.08,100000922
6661671897,Swimwear,50.83,0.07,200000493
2926937052,Washcloth,10.78,0.04,100000133
8143229140,Shower Shoes,27.86,0.04,400000639
8948840620,Gloves,19.8,0,200000661
1082405301,Blazer,119.76,0,200000661
7833392032,Skirt,55.86,0.09,100000306
2248992375,Sweater,61.38,0.05,100000205
5187373849,Short Slip,12.87,0.04,200000631
3390230025,Top,33.48,0.01,300000428
8948840620,Gloves,19.8,0.1,100000577
3135576553,Underwear,5.88,0.1,100000500
3962085980,Sleeper,61.38,0.05,200000670
9223468295,Bath Mat,23.88,0.09,100000123
3135576553,Underwear,5.88,0.08,300000685
8864799421,Valance,31.8,0.03,100000089
4291344502,Long Overalls,55.62,0.05,100000190
5480721202,Shirt,67.83,0.03,200000191
5145202479,Crib Sheet,9.9,0.08,300000633
3452086694,Bra,38.87,0.01,100000277
8058527540,Jeans,35.91,0.04,100000456
2524845521,Gown & Robe Set,105.6,0.09,300000735
2926937052,Washcloth,10.78,0.1,200000904
8864799421,Valance,31.8,0.09,300000074
5480721202,Shirt,67.83,0.08,100000628
9195451761,Hand Towel,51.66,0.1,300000736
6661671897,Swimwear,50.83,0.02,100000028
3795753080,Jeans,38.1,0.06,100000175
5608950888,Suit & 2 pc Dress,112.35,0.03,200000417
3750666773,Waterbed Sheet,79.8,0.04,100000695
5310615417,Tie,41.79,0.03,300000411
8713824671,Infant 2 Piece Set,48.6,0.1,100000248
3123824581,Sweatpants,43.89,0.05,100000231
6660530324,Washcloth,35.14,0.07,100000858
6228611532,Valance,47.76,0.06,200000414
6988128169,Handbag,25.44,0,100000122
2782517448,Belt,45.77,0.07,100000197
3305177499,Coveralls (long sleeve),95.88,0.1,100000061
1893735141,Socks,115.5,0.02,100000093
2963300774,Sweatshirt,75.81,0.09,200000072
3305177499,Coveralls (long sleeve),95.88,0.04,100000209
2557931901,Short Gown,47.76,0,100000383
3305177499,Coveralls (long sleeve),95.88,0.08,300000021
8624682735,Coat,77.77,0.02,200000071
8864799421,Valance,31.8,0.06,100000087
9730446421,Blazer,103.3,0.05,100000143
7425260271,Mattress Cover,35.44,0.09,100000477
3126356136,Formal Dress,99.9,0,100000890
4574639519,Jeans,14.5,0.03,200000462
7010679527,Blanket,63.84,0.07,200000033
9730446421,Blazer,103.3,0.03,200000506
6991736764,Pillow Sham,19.8,0.08,100000291
2113413915,Shorts,59.33,0.09,100000568
8864799421,Valance,31.8,0.01,200000700
3305177499,Coveralls (long sleeve),95.88,0.02,100000134
6548962456,Dust Ruffle,65.79,0.01,300000468
7841340144,Shirt,29.4,0.1,200000903
6511971572,Sleeping Bag,47.88,0.02,100000011
5127562193,Robe,95.76,0.03,300000815
4391642886,Men's Pajama Set,83.79,0.05,100000871
1319286996,Gowns/Pajamas,47.43,0.05,100000860
2524845521,Gown & Robe Set,105.6,0,100000034
7270957383,Scarf,29.85,0.01,100000313
2491559336,Jeans,104.79,0.05,100000308
9538578209,Dress,87.36,0.03,200000506
8713824671,Infant 2 Piece Set,48.6,0.04,100000724
9166887914,Sweater,95.76,0.06,100000327
1489444777,Short Gown,131.12,0.07,200000833
6182400847,Blazer,26.88,0.01,200000040
7270957383,Scarf,29.85,0.02,100000309
4327321762,Dress,69.75,0.07,200000801
4327321762,Dress,69.75,0.03,200000017
6182617964,Long Gown,97.11,0.04,100000249
6648383061,Long Slip,27.86,0.08,400000450
3305177499,Coveralls (long sleeve),95.88,0.03,200000438
5187883584,Dish Towel,49.5,0.03,100000723
3390230025,Top,33.48,0.05,300000530
5997626126,Coat/Jacket,39.55,0,200000105
5857761910,Gowns/Pajamas,28.14,0.02,100000445
4584868492,T-shirt,61.38,0.02,300000768
7833392032,Skirt,55.86,0.08,100000827
2178891798,Hand Towel,18.17,0.1,100000707
8586814459,Gown & Robe Set,65.64,0.05,300000073
1303837083,Suit,19.4,0.04,200000631
3819369487,Dish Towel,7.84,0.02,100000709
5480721202,Shirt,67.83,0.03,100000344
6265788387,Commode Cover,58.1,0.08,100000320
2491559336,Jeans,104.79,0.06,100000341
5145202479,Crib Sheet,9.9,0.04,100000235
9280265561,Coat/Jacket,59.85,0.03,100000680
3962085980,Sleeper,61.38,0,400000721
2430071492,Dust Ruffle,41.86,0.06,200000008
6917448328,Socks,8.82,0.02,400000513
9730446421,Blazer,103.3,0.07,100000444
2248992375,Sweater,61.38,0.07,200000658
5857761910,Gowns/Pajamas,28.14,0.1,100000773
4574639519,Jeans,14.5,0.06,100000875
1284609276,Sweater,95.76,0.01,100000825
5997626126,Coat/Jacket,39.55,0.03,100000135
5187373849,Short Slip,12.87,0.01,100000294
9873264896,Hat,10.89,0.08,100000788
1303837083,Suit,19.4,0.1,400000115
2153011099,Gown & Robe Set,99.8,0.1,100000121
1319286996,Gowns/Pajamas,47.43,0.03,100000796
2588421965,Commode Cover,15.84,0.07,200000210
5509524170,Couch Cover,86.68,0.06,100000156
4584868492,T-shirt,61.38,0.05,200000856
5857761910,Gowns/Pajamas,28.14,0.09,200000537
2248992375,Sweater,61.38,0.1,100000707
1625450539,Dress,54.89,0.07,200000210
5127562193,Robe,95.76,0.07,100000452
9166887914,Sweater,95.76,0.1,100000884
8713824671,Infant 2 Piece Set,48.6,0.09,100000220
3819369487,Dish Towel,7.84,0.08,100000618
4538875409,Couch Cover,79.8,0.05,300000530
6962492078,Bath Mat,37.31,0.03,100000656
8213207925,Underwear & Boxers,23.76,0,100000122
8058527540,Jeans,35.91,0.04,100000132
2248992375,Sweater,61.38,0,200000523
3819369487,Dish Towel,7.84,0.03,100000096
2782517448,Belt,45.77,0.08,100000181
7645689457,Apron,9.48,0.06,200000712
8262662751,Suit,109.89,0.05,100000153
3890778939,Suit & 2 pc Dress,125.16,0.01,100000273
2113413915,Shorts,59.33,0.01,400000759
9280265561,Coat/Jacket,59.85,0.04,200000018
8624682735,Coat,77.77,0.05,100000292
1489444777,Short Gown,131.12,0.01,300000597
3123824581,Sweatpants,43.89,0.03,100000224
2524845521,Gown & Robe Set,105.6,0.1,100000255
3390230025,Top,33.48,0.07,100000743
7645888340,Bath Mat,5.6,0.04,100000219
5857761910,Gowns/Pajamas,28.14,0.05,100000124
5736433915,Mattress Cover,65.78,0.01,100000119
5127562193,Robe,95.76,0.04,400000720
9313710898,Dish Towel,32.23,0.07,100000304
4398051135,Bra,6,0.06,100000875
2491559336,Jeans,104.79,0.01,100000902
2020397001,Men's Pajama Set,23.1,0.01,100000204
3390230025,Top,33.48,0.04,100000142
1893735141,Socks,115.5,0,200000458
2491559336,Jeans,104.79,0.04,100000051
2248992375,Sweater,61.38,0,100000547
4327321762,Dress,69.75,0.08,300000611
2240469836,Slippers,35.82,0.09,300000074
4398051135,Bra,6,0.04,300000731
3819369487,Dish Towel,7.84,0,100000322
9195451761,Hand Towel,51.66,0.08,100000446
7425260271,Mattress Cover,35.44,0.09,200000820
9862518267,Socks,10.84,0.04,100000299
7270957383,Scarf,29.85,0.05,100000421
2020397001,Men's Pajama Set,23.1,0.06,100000042
8213207925,Underwear & Boxers,23.76,0.1,400000516
8624682735,Coat,77.77,0,100000212
4574639519,Jeans,14.5,0.04,300000652
8213207925,Underwear & Boxers,23.76,0,100000604
7425260271,Mattress Cover,35.44,0.03,300000496
1160651321,Coat,93.9,0.1,200000725
4681342313,Sheets,29.9,0.05,100000308
2963300774,Sweatshirt,75.81,0.09,200000629
2248992375,Sweater,61.38,0.1,200000483
2240469836,Slippers,35.82,0.03,100000078
5050067655,Bottoms,66.96,0.07,100000226
5127562193,Robe,95.76,0.07,100000919
3256419181,Short Slip,102,0.04,100000284
1625450539,Dress,54.89,0.09,200000629
4934584980,Nylon Pants,55.86,0.02,100000576
7425260271,Mattress Cover,35.44,0.02,200000941
3126356136,Formal Dress,99.9,0.05,100000038
6182617964,Long Gown,97.11,0.01,100000234
8624682735,Coat,77.77,0.1,200000339
4327321762,Dress,69.75,0.01,200000101
3495221948,Suit & 2 pc Dress,38.12,0.1,100000868
2557931901,Short Gown,47.76,0.09,200000072
2524845521,Gown & Robe Set,105.6,0.01,100000313
8058527540,Jeans,35.91,0.04,200000728
7833392032,Skirt,55.86,0.06,100000327
6511971572,Sleeping Bag,47.88,0.07,100000311
1489444777,Short Gown,131.12,0.1,200000904
8586814459,Gown & Robe Set,65.64,0.09,200000480
4681342313,Sheets,29.9,0,100000519
1160651321,Coat,93.9,0.05,100000240
9916068026,Gowns/Pajamas,118.14,0.05,100000231
2113413915,Shorts,59.33,0.08,200000672
6648383061,Long Slip,27.86,0.04,100000695
8586814459,Gown & Robe Set,65.64,0.04,100000170
5127562193,Robe,95.76,0.07,200000493
3256419181,Short Slip,102,0.09,200000582
2363094138,Short Overalls,71.82,0.1,100000001
1625450539,Dress,54.89,0.03,100000746
2876522496,Jacket,99.8,0.1,100000872
5736433915,Mattress Cover,65.78,0.09,100000247
1737807900,Tie,68.64,0,200000586
4327321762,Dress,69.75,0.01,100000060
2695940506,Sweater,59.4,0.07,300000079
6228611532,Valance,47.76,0.1,100000831
1160651321,Coat,93.9,0.09,100000225
6917448328,Socks,8.82,0.1,100000255
5187883584,Dish Towel,49.5,0.02,300000552
4622769035,Short Gown,78,0.07,100000454
9862518267,Socks,10.84,0,200000110
6228611532,Valance,47.76,0.09,100000760
4327321762,Dress,69.75,0.02,200000887
8058527540,Jeans,35.91,0.07,100000063
1082405301,Blazer,119.76,0.08,100000279
1039854547,Coat,135.83,0.02,400000513
1039854547,Coat,135.83,0.08,400000396
3256419181,Short Slip,102,0.01,100000797
4538875409,Couch Cover,79.8,0.06,100000840
2363094138,Short Overalls,71.82,0.08,100000221
5997626126,Coat/Jacket,39.55,0,100000212
3405268556,Handbag,114.77,0.08,100000928
2363094138,Short Overalls,71.82,0.1,300000594
2588421965,Commode Cover,15.84,0.03,100000877
8438262686,Robe,29.88,0.08,200000024
2248992375,Sweater,61.38,0.03,100000199
4924918902,T-shirt,62.79,0.04,100000174
6265788387,Commode Cover,58.1,0.07,100000237
2430071492,Dust Ruffle,41.86,0.04,200000481
6182400847,Blazer,26.88,0.01,400000419
3405268556,Handbag,114.77,0.06,400000044
6991736764,Pillow Sham,19.8,0.1,400000115
2557931901,Short Gown,47.76,0.02,200000076
2491559336,Jeans,104.79,0.1,300000688
6697166886,Coat,159.8,0.02,100000028
1625450539,Dress,54.89,0.05,100000900
3452086694,Bra,38.87,0.04,100000498
6182617964,Long Gown,97.11,0.03,100000145
6388591017,Baby Quilt,100.68,0.1,100000927
3795753080,Jeans,38.1,0.02,100000920
8262662751,Suit,109.89,0.08,100000315
2491559336,Jeans,104.79,0.04,200000018
5857761910,Gowns/Pajamas,28.14,0.03,100000345
7010679527,Blanket,63.84,0.06,200000505
4327321762,Dress,69.75,0.1,100000566
6917448328,Socks,8.82,0.05,200000424
3390230025,Top,33.48,0.04,200000416
4574639519,Jeans,14.5,0.04,100000498
6648383061,Long Slip,27.86,0.01,100000116
5509524170,Couch Cover,86.68,0.01,100000313
7010679527,Blanket,63.84,0.1,200000671
5127562193,Robe,95.76,0.07,100000007
8713824671,Infant 2 Piece Set,48.6,0.08,400000540
9166887914,Sweater,95.76,0,100000212
4291344502,Long Overalls,55.62,0.02,100000709
2588421965,Commode Cover,15.84,0.03,100000809
6511971572,Sleeping Bag,47.88,0.08,200000102
5310615417,Tie,41.79,0.01,300000429
4538875409,Couch Cover,79.8,0.04,400000676
7270957383,Scarf,29.85,0.01,100000543
8948840620,Gloves,19.8,0.09,200000484
9730446421,Blazer,103.3,0.03,100000184
6719567315,Blouse,47.88,0.04,200000256
